report_year,calculator_data_version,property_price_gbp,jurisdiction,buyer_type,assumption_level,deposit_percentage,deposit_gbp,property_tax_name,property_tax_gbp,property_tax_basis,legal_fees_gbp,legal_fees_basis,searches_gbp,searches_basis,registration_gbp,registration_basis,survey_gbp,survey_basis,mortgage_fees_gbp,mortgage_fees_basis,bank_transfer_fee_gbp,moving_costs_gbp,moving_costs_included,insurance_gbp,insurance_included,furnishing_setup_gbp,furnishing_setup_included,contingency_gbp,contingency_percentage,total_upfront_cash_gbp,notes
2026,2026.07.1,150000,England,First-time buyer,average,10,15000,Stamp Duty Land Tax,0,official-calculation,1250,market-estimate,340,market-estimate,100,official-charge,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,405,10,19555,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,150000,England,Home mover,average,10,15000,Stamp Duty Land Tax,500,official-calculation,1250,market-estimate,340,market-estimate,100,official-charge,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,405,10,20055,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,150000,England,Additional property / second home,average,10,15000,Stamp Duty Land Tax,8000,official-calculation,1250,market-estimate,340,market-estimate,100,official-charge,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,405,10,27555,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,150000,Northern Ireland,First-time buyer,average,10,15000,Stamp Duty Land Tax,0,official-calculation,1250,market-estimate,340,market-estimate,220,market-estimate,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,427,10,19697,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,150000,Northern Ireland,Home mover,average,10,15000,Stamp Duty Land Tax,500,official-calculation,1250,market-estimate,340,market-estimate,220,market-estimate,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,427,10,20197,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,150000,Northern Ireland,Additional property / second home,average,10,15000,Stamp Duty Land Tax,8000,official-calculation,1250,market-estimate,340,market-estimate,220,market-estimate,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,427,10,27697,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,150000,Scotland,First-time buyer,average,10,15000,LBTT,0,official-calculation,1250,market-estimate,240,market-estimate,260,official-charge,550,market-estimate,650,market-estimate,40,900,true,300,true,0,false,393,10,19583,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,150000,Scotland,Home mover,average,10,15000,LBTT,100,official-calculation,1250,market-estimate,240,market-estimate,260,official-charge,550,market-estimate,650,market-estimate,40,900,true,300,true,0,false,393,10,19683,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,150000,Scotland,Additional property / second home,average,10,15000,LBTT,12100,official-calculation,1250,market-estimate,240,market-estimate,260,official-charge,550,market-estimate,650,market-estimate,40,900,true,300,true,0,false,393,10,31683,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,150000,Wales,First-time buyer,average,10,15000,LTT,0,official-calculation,1250,market-estimate,330,market-estimate,100,official-charge,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,404,10,19544,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,150000,Wales,Home mover,average,10,15000,LTT,0,official-calculation,1250,market-estimate,330,market-estimate,100,official-charge,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,404,10,19544,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,150000,Wales,Additional property / second home,average,10,15000,LTT,7500,official-calculation,1250,market-estimate,330,market-estimate,100,official-charge,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,404,10,27044,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,200000,England,First-time buyer,average,10,20000,Stamp Duty Land Tax,0,official-calculation,1250,market-estimate,340,market-estimate,100,official-charge,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,405,10,24555,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,200000,England,Home mover,average,10,20000,Stamp Duty Land Tax,1500,official-calculation,1250,market-estimate,340,market-estimate,100,official-charge,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,405,10,26055,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,200000,England,Additional property / second home,average,10,20000,Stamp Duty Land Tax,11500,official-calculation,1250,market-estimate,340,market-estimate,100,official-charge,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,405,10,36055,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,200000,Northern Ireland,First-time buyer,average,10,20000,Stamp Duty Land Tax,0,official-calculation,1250,market-estimate,340,market-estimate,310,market-estimate,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,436,10,24796,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
